ATSC8c,MATS1e,minsCH3,MATS4e,MATS4s,ATSC7i,SpMin4_Bhp,MLFER_S,ATSC4p,SpMax2_Bhm,Class
-0.1769,-0.0075,0,0.0304,0.0178,1.2512,1.6984,3.393,-3.7631,3.9841,Changer
-0.1334,0.0692,2.054,-0.1618,-0.1082,-27.6855,1.832,3.518,-4.0572,3.9283,Changer
-0.4566,0.0619,2.0211,-0.0215,-0.0408,14.7196,1.878,4.16,-3.929,4.0014,Changer
-0.0764,-0.0133,1.8541,-0.0665,0.0014,19.2518,1.7636,3.252,-7.0335,3.9725,Changer
-0.0238,0.0693,0,0.0584,0.0324,5.6115,1.7703,3.718,-2.916,4.014,NoChanger
-0.2642,0.0021,2.1024,-0.0957,-0.115,-26.2695,1.9231,3.812,-4.7503,4.0144,Changer
-0.0824,-0.0126,2.053,-0.1109,-0.1263,-5.9867,1.9063,3.751,-1.5303,3.9896,Changer
-0.2949,-0.0749,0,0.1455,0.0242,4.2698,1.6957,5.665,-6.1581,4.0031,NoChanger
-0.0217,0.002,0,-0.0782,-0.0449,13.5707,1.6807,3.211,-3.9881,4.0798,Changer
0.4623,0.0143,1.3781,-0.0534,0.0032,-1.1046,1.7127,4.423,-2.9054,3.9955,Changer
-0.343,0.0385,1.9508,-0.0399,-0.0785,9.8176,1.9021,4.278,-2.9407,4.0146,Changer
-0.0284,0.0622,1.3737,-0.1091,-0.1476,-1.7736,1.849,3.235,2.2397,4.2397,Changer
-0.0387,0.0792,1.3693,-0.1178,-0.1357,-2.2889,1.5803,2.632,2.8642,4.1831,Changer
-0.0776,0.0828,1.249,-0.0913,-0.1552,13.0941,1.5778,2.887,-1.2117,4.1654,Changer
-0.0018,0.0643,1.3908,-0.1275,-0.1346,-3.49,1.5802,2.844,2.7781,4.7067,Changer
-0.0004,0.1005,1.3931,-0.0696,-0.1086,-2.5026,1.8524,3.05,2.8889,4.2783,Changer
-0.0562,0.0503,1.2901,-0.089,-0.152,10.3825,1.5833,2.632,-1.6212,4.1643,Changer
